/products/57002002/cmapi020535.html  地理编码    将详细的结构化地址转换为高德经纬度坐标。且支持对地标性名胜景区、建筑物名称解析为高德经纬度坐标。结构化地址举例：北京市朝阳区阜通东大街6号转换后经纬度：116.480881,39.989410 地。  
/products/57002002/cmapi028889.html  全国青年旅社位置数据  企业,应用开发,大数据可视化,数据大屏,商业智能,数据API,数据应用  为您提供全国青年旅社位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国青年旅社位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi028900.html  全国职业技术学校位置数据  企业,应用开发,大数据可视化,数据大屏,商业智能,数据API,可视化  为您提供全国职业技术学校位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国职业技术学校位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi028896.html  全国培训机构位置数据  企业,应用开发,数据大屏,商业智能,数据API,数据应用,可视化  为您提供全国培训教育机构位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国培训教育机构位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi028899.html  全国成人教育学校位置数据  企业,应用开发,大数据可视化,数据大屏,商业智能,数据API,数据应用  为您提供全国成人教育学校位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国成人教育学校位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029313.html  全国诊所位置数据  企业,应用开发,大数据可视化,数据大屏,数据API,数据应用  全国诊所位置数据，按区域名称查询得到该区域内所有或者包含特定关键字的全国诊所位置数据的相关信息，包括名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029310.html  全国二手车市场位置数据  企业,应用开发,大数据可视化,数据API,数据,可视化,应用开发  全国二手车市场位置数据，按区域名称查询得到该区域内所有或者包含特定关键字的全国二手车市场位置数据的相关信息，包括名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029309.html  全国汽车充电站充电桩位置数据  企业,APP,数据大屏,数据API,可视化,API,应用开发  为您提供全国汽车充电站充电桩位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国汽车充电站充电桩位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029303.html  全国4A级旅游景点景区位置数据  企业,APP,大数据可视化,商业智能,数据API,人工智能,应用开发  为您提供全国4A级旅游景点景区位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国4A级旅游景点景区位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi026720.html  全国产业园区工业园区科技园区位置数据  企业,应用开发,商业智能,数据API,数据应用,可视化,API  为您提供全国产业园区位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式查询得到产业园区所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi026160.html  全国旅游景点旅游景区位置数据  企业,应用开发,数据API,数据应用,数据,API,生活服务  为您提供全国旅游景点位置数据，包含全国景点信息。可查询得到所属省市区、具体地址、所属级别、经纬度坐标（WGS-84坐标系）等。  
/products/57002002/cmapi027270.html  全国火车站位置数据  企业,应用开发,银行卡三元素认证,数据API,数据应用,可视化,人工智能  全国火车站位置数据，按区域名称查询得到该区域内所有火车站或者包含特定关键字的火车站的相关信息，包括火车站名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi027280.html  全国汽车销售位置数据  企业,应用开发,大数据可视化,商业智能,数据API,数据应用,可视化  为您提供全国汽车销售位置数据，支持区域查询、经纬度距离周边查询、关键字查询、按品牌查询多种方式查询得到汽车销售名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi027290.html  全国汽车维修位置数据  企业,应用开发,大数据可视化,数据API,数据应用,数据,可视化  为您提供全国汽车维修位置数据，支持区域查询、经纬度距离周边查询、关键字、品牌查询多种方式查询得到汽车维修名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi027376.html  全国省市县乡镇街道四级行政区划查询  企业,应用开发,大数据可视化,数据API,数据应用,生活服务,应用开发  对全国范围内的四级（省、市、区县、乡镇街道）行政区划面数据进行统一查询，属性全面规范、信息完整，包括本级行政区划名称和代码、上级行政区划名称和代码、行政区划中心点经纬度坐标、行政区划边界经纬度坐标值。  
/products/57002002/cmapi027326.html  河南省郑州市小学学区划片范围数据  企业,应用开发,数据API,数据应用,应用开发  河南省郑州市主城区主要小学学区划片范围数据，支持区域、经纬度位置、小区或学校关键字多种方式查询得到小学名称、所属的省市区、联系方式、详细地址、学校等级、学区划片范围、学区划片轮廓边界坐标值。  
/products/57002002/cmapi023070.html  全国影剧院位置数据_我秀中国  大数据可视化,商业智能,电商,人工智能,生活服务  全国影剧院位置数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi022783.html  查询POI所属行政区划查询_我秀中国  大数据可视化,天气预报,数据大屏,商业智能,数据API  通过关键字查询行政区划的名称、行政区划编码、城市编码、区域范围坐标等信息；并可指定行政区划级别查询或查询指定城市数据。  
/products/57002002/cmapi023399.html  全国医院诊所位置数据_我秀中国  大数据可视化,数据大屏,商业智能,人工智能,生活服务  全国医院诊所数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi023376.html  全国商场位置数据_我秀中国  数据大屏,商业智能,电商,人工智能,生活服务  全国商场数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi022926.html  到达圈服务_我秀中国  快递查询,数据大屏,商业智能,电商,人工智能  帮助用户分析在限制条件下（例如，规定时间内驾车或步行前往等），从指定点可到达的区域范围。  
/products/57002002/cmapi022786.html  关键字搜索地图POI信息_我秀中国  大数据可视化,数据大屏,商业智能,数据API,智能客服  通过关键字搜索用户感兴趣的点（POI，Point of Interest），每个兴趣点一般应包含名称、类别、经度、纬度等信息，常见的兴趣点如学校、银行、餐厅等。  
/products/57002002/cmapi022923.html  静态地图服务_我秀中国  大数据可视化,快递查询,数据大屏,商业智能,人工智能  根据设定的参数，如，图片大小、缩放级别、地图中心点获取PNG格式的图片。  
/products/57002002/cmapi022919.html  栅格取图服务_我秀中国  大数据可视化,快递查询,违章查询,数据大屏,商业智能  提供获取栅格切片的服务，将按照Google tile算法或标准tms算法获取的地图栅格切片。  
/products/57002002/cmapi022950.html  全国青年旅舍POI地图数据_我秀中国  商业智能,数据API,电商,人工智能,生活服务  全国青年旅舍数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi022790.html  逆地理编码通过坐标查询地址_我秀中国  大数据可视化,快递查询,数据大屏,商业智能,电商  通过坐标查询地址。  
/products/57002002/cmapi028280.html  翔云-车架号VIN码、车辆识别代码识别API【图像 图片识别OCR】  开发者,APP,自动识别接口,违章查询,商业智能,资产类,政法方案  VIN码识别服务，可快速精准定位图片中VIN码区域并识别。  
/products/57002002/cmapi027403.html  物联网定位  企业,应用开发,数据API,数据应用,API,生活服务,应用开发  支持移动联通电信三网基站定位及全国1.6亿Wi-Fi热点定位，采用Cell-id、Wi-Fi、A-lbs定位技术，由国内最大的手机位置服务商神州伟智提供。  
/products/57002002/cmapi030982.html  驾照扣分查询  违章查询接口/API,数据API,API  province支持范围：北京,天津,上海,重庆,辽宁,吉林,黑龙江,河北,山西,陕西,山东,安徽,河南,湖北,湖南,江西,福建,云南,海南,四川,贵州,广东,甘肃,青海,西藏,新疆,广西,内蒙古。  
/products/57002002/cmapi028992.html  行驶证信息查询  开发者,应用开发,API,应用开发  根据车牌号和号牌种类查询该车的行驶证信息。  
/products/57002002/cmapi024165.html  车牌识别（支持新能源车牌识别）图片OCR  自动识别接口,图像识别,OCR,人工智能,API  车牌识别（支持新能源。  
/products/57002002/cmapi028848.html  全国特色商业街位置数据  开发者,应用开发,大数据可视化,数据大屏,商业智能,数据API,数据应用  为您提供全国特色商业街位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国特色商业街位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi028888.html  全国度假村位置数据  企业,应用开发,大数据可视化,数据大屏,商业智能,数据应用,可视化  全国度假村位置数据，按区域名称查询得到该区域内所有或者包含特定关键字的全国度假村位置数据的相关信息，包括名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029308.html  全国汽车养护服务位置数据  企业,应用开发,大数据可视化,数据大屏,数据应用,可视化,应用开发  为您提供全国汽车养护位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国汽车养护位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029302.html  全国5A级旅游景点景区位置数据  企业,APP,大数据可视化,数据API,数据应用,API,应用开发  全国5A级旅游景点景区位置数据，按区域名称查询得到该区域内所有或者包含特定关键字的全国5A级旅游景点景区位置数据的相关信息，包括名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029305.html  全国地铁站点位置数据  企业,APP,大数据可视化,数据大屏,商业智能,数据API,数据应用  全国地铁站点位置数据，按区域名称查询得到该区域内所有或者包含特定关键字的全国地铁站点位置数据的相关信息，包括名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi026648.html  全国幼儿园位置数据  企业,APP,数据API,数据应用,数据,API,生活服务  为您提供全国幼儿园位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式查询得到幼儿园所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi024165.html  车牌识别（支持新能源车牌识别）图片OCR  自动识别接口,图像识别,OCR,人工智能,API  车牌识别（支持新能源。  
/products/57002002/cmapi019552.html  全国驾照查分  开发者,APP,违章查询接口/API,违章查询  本API服务用于互联网产品开发，车主用户自查驾照分请勿购买，若不知道本服务使用方式，请勿购买！全国驾驶员驾照剩余驾照分查询，驾驶证扣分查询。  
/products/57002002/cmapi022982.html  全国停车场位置数据_我秀中国  大数据可视化,商业智能,电商,人工智能,生活服务  全国停车场位置数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi022925.html  地图坐标编码格式转换服务_我秀中国  大数据可视化,快递查询,数据大屏,商业智能,人工智能  坐标之间互相转换，目前支持WGS-84坐标、GCJ02坐标之间的批量转换。  
/products/57002002/cmapi023068.html  全国旅游景点位置数据_我秀中国  大数据可视化,数据大屏,商业智能,电商,生活服务  全国旅游景点位置数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi022715.html  步行路径规划_我秀中国  大数据可视化,数据大屏,商业智能,数据API,生活服务  提供步行路线规划功能。  
/products/57002002/cmapi022772.html  驾车路线规划_我秀中国  大数据可视化,快递查询,数据大屏,商业智能,数据API  提供驾车路线规划功能。  
/products/57002002/cmapi022182.html  货车路径规划_我秀中国  大数据可视化,快递查询,商业智能,数据API,生活服务  提供货车路线规划功能。  
/products/57002002/cmapi023395.html  全国学校位置数据_我秀中国  大数据可视化,数据大屏,商业智能,人工智能,生活服务  全国学校位置数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi025675.html  翔云-驾驶证识别API【图像、文字识别OCR】（限时大促）  开发者,APP,驾驶证识别,商业智能,金融,生活服务,信用类  通过提交驾驶证图片，智能提取驾驶证图片信息，包括姓名、驾驶证号、性别、有效期限等所有信息，驾驶证识别服务，可快速精准的识别出驾驶证信息并返回，可免去您人工校对录入驾驶证信息的烦恼。  
/products/57002002/cmapi029961.html  车辆续保查询  开发者,应用开发,违章查询,数据API,数据应用,数据,API  根据用户提供的车辆信息，查询以往本车续保记录。  
/products/57002002/cmapi029837.html  驾驶证OCR识别  开发者,应用开发,图像识别,驾驶证识别,OCR,API  识别驾驶证正面或者副页的信息（图片务必清楚，BASE64格式的图片，注：入参以及出参详见帮助文档。  
/products/57002002/cmapi026571.html  全国飞机场位置数据  企业,应用开发,数据API,数据应用,API,生活服务,应用开发  为您提供飞机场位置数据，按照省、市、县、名称关键字查询得到该区域内飞机场的相关信息，包括所属省、市、区、具体地址、经纬度坐标（WGS-84。  
/products/57002002/cmapi029304.html  全国汽车站位置数据  企业,APP,大数据可视化,数据应用,可视化,API,短信营销  全国汽车站位置数据，按区域名称查询得到该区域内所有或者包含特定关键字的全国汽车站位置数据的相关信息，包括名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029284.html  全国旅游景点旅游景区位置数据  企业,APP,商业智能,数据API,数据应用,可视化,应用开发  全国旅游景点景区位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国旅游景点景区位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029284.html  全国旅游景点旅游景区位置数据  企业,APP,商业智能,数据API,数据应用,可视化,应用开发  全国旅游景点景区位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式得到全国旅游景点景区位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi029314.html  全国快餐厅位置数据  企业,应用开发,大数据可视化,数据API,数据应用,数据,可视化  为您提供全国快餐厅位置数据，支持区域查询、经纬度距离周边查询、关键字查询、菜系类别查询多种方式得到全国快餐厅位置数据名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi026571.html  全国飞机场位置数据  企业,应用开发,数据API,数据应用,API,生活服务,应用开发  为您提供飞机场位置数据，按照省、市、县、名称关键字查询得到该区域内飞机场的相关信息，包括所属省、市、区、具体地址、经纬度坐标（WGS-84。  
/products/57002002/cmapi027294.html  河北省保定市小区面轮廓位置数据  企业,应用开发,数据API,数据应用,数据,应用开发,智能客服  为您提供河北省保定市主城内以及县城主城区范围内的小区轮廓位置数据，支持区域查询、经纬度位置查询、关键字查询多种方式查询得到小区名称、所属的省、市、区、小区轮廓边界坐标值（WGS84坐标。  
/products/57002002/cmapi023077.html  全国度假疗养场馆位置数据_我秀中国  大数据可视化,数据大屏,商业智能,电商,生活服务  全国度假疗养场馆数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi022961.html  全国汽车销售与维修位置数据_我秀中国  大数据可视化,商业智能,电商,人工智能,生活服务  全国汽车销售与维修数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi023317.html  全国运动场馆位置数据_我秀中国  大数据可视化,数据大屏,电商,生活服务,健康医疗  全国运动场馆位置数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi022817.html  通过地址查询经纬度_我秀中国  身份证接口/API,大数据可视化,快递查询,数据大屏,商业智能  将详细的标准地址信息转换为经纬度坐标，同时支持名胜景区、标志性建筑物名称解析为经纬度坐标。  
/products/57002002/cmapi023397.html  全国居民小区位置数据_我秀中国  数据大屏,商业智能,电商,CRM,生活服务  全国居民小区数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmapi023334.html  全国通讯企业位置数据_我秀中国  快递查询,商业智能,电商,CRM,人工智能  全国通讯企业位置数据，包括名称，地址，经纬度（WG84坐标系），可根据名称关键字、区域搜索分页获取，支持定制。  
/products/57002002/cmgj025097.html  高德自定义地图专业版  开发者  高德自定义地图专业版，让地图从此不再前篇一律。  
/products/57002002/cmapi028397.html  翔云-车架号VIN码解析API（查询车辆信息）【图像 图片识别OCR】  开发者,移动营销,违章查询,商业智能,电商,生活服务,信用类  中安未来车架号VIN查询服务传入车辆识别码（车架号）VIN即可获取车辆的品牌、型号、出厂日期、发动机类型、排量等车辆参数。由于数据同步更新周期等因素会有极少数记录有误差，正式使用前可以先测试看是否满足。  
/products/57002002/cmapi025677.html  翔云-行驶证识别API【图像、文字识别OCR】（限时大促）  开发者,APP,自动识别接口,图像识别,驾驶证识别,商业智能,生活服务  行驶证识别服务，通过图片识别技术可快速精准返回行驶证中的信息，识别率高。支持对机动车行驶证正页的关键字段识别，智能提取行驶证图片信息。包括号牌号码、车辆类型、所有人、住址、使用性质、品牌型号、车辆识别。  
